Drug_Name,Target,earlist data,oldest date
clozapine,Myocardial infarction,"2021, 4, 13","2002, 3, 6"
clozapine,Pericardial effusion,"2022, 8, 31","2003, 1, 25"
clozapine,Pericarditis,"2022, 6, 7","2002, 3, 1"
clozapine,Tachycardia,"2022, 11, 16","2003, 7, 17"
clozapine,Ventricular tachycardia,"2022, 8, 31","2002, 12, 31"
clozapine,Bradycardia,"2022, 6, 7","2002, 1, 5"
clozapine,Electrocardiogram change,"2022, 8, 31","2001, 4, 18"
clozapine,Cardiomyopathy,"2022, 10, 19","2017, 3, 28"
codeine,Cardiac arrest,"2021, 5, 12","2002, 9, 5"
codeine,Cardiac disorder,"2022, 6, 7","2001, 4, 24"
codeine,Tachycardia,"2022, 6, 7","2005, 9, 10"
codeine,Bradycardia,"2022, 1, 28","2003, 12, 24"
codeine,Cardiovascular insufficiency,"2018, 9, 1","2018, 9, 1"
cyclobenzaprine,Myocardial infarction,"2016, 11, 2","2016, 11, 2"
cyclobenzaprine,Tachycardia,"2017, 4, 27","2000, 5, 9"
cyclopentolate,Tachycardia,"2021, 3, 31","2014, 6, 8"
cyproheptadine,Tachycardia,"2022, 9, 4","2001, 9, 29"
danazol,Myocardial infarction,"2015, 11, 19","2003, 8, 16"
danazol,Tachycardia,NA,#N/A
desipramine,Myocardial infarction,"2021, 12, 30","2000, 1, 1"
desipramine,Tachycardia,"2017, 3, 21","2000, 1, 1"
desipramine,Ventricular tachycardia,"2010, 12, 2","2000, 1, 1"
dexamethasone,Cardiac arrest,"2022, 11, 4","2000, 9, 2"
dexamethasone,Cardiomegaly,"2022, 9, 16","2000, 8, 15"
dexamethasone,Cardiac failure,"2022, 12, 6","2020, 10, 29"
dexamethasone,Tachycardia,"2022, 11, 23","2000, 4, 11"
dexamethasone,Bradycardia,"2022, 12, 6","2000, 1, 29"
amphetamine,Myocardial infarction,"2022, 10, 20","2011, 9, 9"
amphetamine,Tachycardia,"2022, 6, 26","2013, 6, 26"
amphetamine,Cardiomyopathy,"2022, 12, 2","2011, 6, 15"
amphetamine,Cardiac disorder,"2022, 12, 2","2019, 8, 2"
amphetamine,Cardiac death,"2022, 12, 2","2021, 3, 7"
diazoxide,Tachycardia,"2021, 7, 22","2002, 11, 14"
diclofenac,Cardiovascular disorder,"2022, 11, 5","2016, 12, 26"
diclofenac,Cardiac disorder,"2022, 10, 28","2011, 9, 3"
diclofenac,Cardiac failure,"2022, 9, 6","2000, 7, 19"
diclofenac,Cardiac failure congestive,"2022, 9, 6","2000, 7, 19"
diclofenac,Myocardial infarction,"2022, 9, 23","2007, 5, 19"
diclofenac,Tachycardia,"2021, 10, 23","2006, 9, 23"
diclofenac,Bradycardia,"2022, 9, 23","2003, 3, 18"
dicyclomine,Cardiac disorder,"2014, 8, 26","2014, 8, 26"
dicyclomine,Tachycardia,"2014, 8, 26","2014, 8, 26"
dihydroergotamine,Myocardial infarction,"2016, 4, 12","2005, 5, 7"
dihydroergotamine,Tachycardia,"2009, 4, 10","2009, 4, 10"
dihydroergotamine,Ventricular tachycardia,NA,#N/A
dihydroergotamine,Myocardial ischaemia,"2021, 10, 10","2002, 7, 19"
diphenhydramine,Tachycardia,"2022, 8, 6","2001, 2, 24"
dipivefrin,Tachycardia,NA,#N/A
dipyridamole,Cardiac arrest,"2022, 11, 27","2000, 7, 6"
dipyridamole,Cardiac disorder,"2022, 11, 24","2018, 10, 22"
dipyridamole,Myocardial infarction,"2022, 11, 22","2012, 12, 21"
dipyridamole,Tachycardia,"2020, 11, 7","2000, 2, 15"
dipyridamole,Supraventricular tachycardia,"2020, 3, 12","2001, 3, 7"
dipyridamole,Ventricular tachycardia,"2020, 11, 7","2000, 5, 23"
dipyridamole,Cardiac fibrillation,"2022, 7, 22","2000, 4, 14"
dipyridamole,Cardiac death,"2022, 11, 27","2013, 7, 11"
dipyridamole,Bradycardia,"2020, 7, 21","2001, 8, 30"
dipyridamole,Electrocardiogram abnormal,"2021, 7, 20","2000, 4, 1"
dipyridamole,Sustained ventricular tachycardia,"2017, 7, 18","2000, 2, 15"
dipyridamole,Electrocardiogram change,"2021, 3, 23","2000, 4, 8"
dipyridamole,Cardiomyopathy,"2021, 8, 14","2003, 11, 25"
dipyridamole,Electrocardiogram ST-T change,"2011, 10, 5","2002, 11, 2"
disopyramide,Cardiac output decreased,"2002, 9, 13","2002, 9, 13"
disopyramide,Cardiac arrest,"2022, 7, 10","2000, 10, 19"
disopyramide,Cardiac failure,"2022, 10, 16","2000, 6, 3"
disopyramide,Cardiac failure congestive,"2022, 10, 16","2000, 6, 3"
disopyramide,Cardiogenic shock,"2017, 12, 17","2017, 12, 17"
disopyramide,Ventricular tachycardia,"2022, 11, 18","2000, 3, 15"
disopyramide,Cardiac fibrillation,"2022, 11, 18","2000, 2, 2"
disopyramide,Bradycardia,"2016, 5, 24","2008, 7, 22"
disopyramide,Electrocardiogram QRS complex,"2001, 2, 24","2001, 2, 24"
dolasetron,Cardiac arrest,"2005, 9, 1","2005, 9, 1"
dolasetron,Myocardial infarction,"2005, 2, 22","2005, 2, 22"
dolasetron,Tachycardia,"2016, 3, 24","2005, 8, 24"
dolasetron,Ventricular tachycardia,"2010, 3, 10","2007, 12, 18"
dolasetron,Myocardial ischaemia,"2005, 2, 22","2005, 2, 22"
dolasetron,Cardiac fibrillation,"2003, 3, 7","2003, 3, 7"
dolasetron,Electrocardiogram U wave present,NA,#N/A
dolasetron,Electrocardiogram U-wave abnormality,NA,#N/A
dolasetron,Electrocardiogram abnormal specific,NA,#N/A
dolasetron,Electrocardiogram abnormal,"2019, 8, 6","2008, 3, 8"
dolasetron,Bradycardia,"2010, 8, 3","2010, 8, 3"
dolasetron,Wide complex tachycardia,NA,#N/A
dolasetron,Electrocardiogram poor R-wave progression,NA,#N/A
donepezil,Cardiomegaly,NA,#N/A
donepezil,Cardiac failure,"2022, 6, 21","2004, 6, 4"
donepezil,Cardiac failure congestive,"2022, 6, 21","2004, 6, 4"
donepezil,Myocardial infarction,"2022, 6, 21","2009, 8, 14"
donepezil,Supraventricular tachycardia,NA,#N/A
donepezil,Bradycardia,"2022, 3, 19","2000, 6, 1"
donepezil,Electrocardiogram abnormal,"2021, 3, 26","2004, 10, 22"
dorzolamide,Cardiac arrest,"2017, 7, 12","2017, 7, 12"
dorzolamide,Cardiac failure,"2003, 11, 19","2003, 11, 19"
dorzolamide,Cardiac failure congestive,"2003, 11, 19","2003, 11, 19"
dorzolamide,Myocardial infarction,NA,#N/A
dorzolamide,Bradycardia,"2020, 6, 3","2005, 9, 15"
doxazosin,Cardiac failure,"2022, 11, 17","2001, 2, 13"
doxazosin,Myocardial infarction,"2021, 12, 3","2000, 4, 7"
doxazosin,Tachycardia,"2022, 6, 7","2003, 12, 24"
doxazosin,Myocardial ischaemia,"2021, 12, 3","2000, 3, 29"
doxazosin,Bradycardia,"2021, 2, 7","2020, 3, 4"
doxazosin,Electrocardiogram abnormal,"2016, 2, 5","2000, 3, 29"
doxepin,Cardiac disorder,"2020, 9, 22","2000, 11, 4"
doxepin,Tachycardia,"2020, 9, 22","2001, 9, 1"
doxepin,Cardiac death,"2019, 11, 22","2000, 3, 9"
doxepin,Bradycardia,NA,#N/A
doxepin,Electrocardiogram QRS complex abnormal,NA,#N/A
doxepin,Electrocardiogram ST-T segment abnormal,NA,#N/A
doxepin,Electrocardiogram change,"2011, 7, 5","2011, 7, 5"
droperidol,Cardiac arrest,"2021, 11, 26","2002, 7, 12"
droperidol,Tachycardia,"2022, 6, 26","2000, 1, 15"
droperidol,Ventricular tachycardia,"2022, 6, 26","2001, 2, 24"
dyphylline,Tachycardia,NA,#N/A
edrophonium,Cardiac arrest,"2020, 3, 20","2001, 8, 29"
edrophonium,Bradycardia,"2010, 12, 7","2000, 4, 14"
efavirenz,Cardiac disorder,"2022, 8, 16","2003, 5, 9"
efavirenz,Cardiac failure congestive,"2022, 7, 13","2003, 6, 28"
efavirenz,Tachycardia,"2021, 7, 31","2002, 5, 23"
emedastine,Cardiac disorder,NA,#N/A
emedastine,Tachycardia,NA,#N/A
ergotamine,Tachycardia,"2019, 12, 4","2000, 1, 12"
ergotamine,Bradycardia,"2020, 6, 18","2001, 6, 8"
erythromycin,Ventricular tachycardia,"2022, 8, 15","2001, 11, 27"
erythromycin,Electrocardiogram QT prolonged,"2022, 5, 25","2016, 3, 30"
estramustine,Cardiac arrest,NA,#N/A
estramustine,Cardiac failure congestive,"2007, 11, 21","2007, 11, 21"
estramustine,Myocardial infarction,"2010, 5, 5","2001, 3, 10"
estramustine,Myocardial ischaemia,"2007, 7, 25","2007, 7, 25"
estriol,Myocardial infarction,NA,#N/A
etodolac,Cardiac failure congestive,"2020, 6, 26","2020, 6, 26"
etodolac,Myocardial infarction,"2020, 6, 26","2006, 7, 1"
etodolac,Tachycardia,NA,#N/A
etoposide,Cardiovascular disorder,"2022, 11, 23","2017, 6, 1"
etoposide,Cardiac arrest,"2022, 7, 12","2003, 2, 13"
etoposide,Cardiac disorder,"2022, 9, 1","2009, 2, 13"
etoposide,Cardiac failure,"2022, 11, 23","2000, 2, 2"
etoposide,Cardiac failure congestive,"2022, 11, 23","2000, 5, 2"
etoposide,Myocardial infarction,"2021, 6, 19","2000, 5, 2"
etoposide,Tachycardia,"2022, 7, 23","2002, 9, 24"
etoposide,Cardiotoxicity,"2022, 9, 24","2000, 2, 16"
famciclovir,Cardiac disorder,"2001, 5, 22","2001, 5, 22"
famotidine,Electrocardiogram QT prolonged,"2016, 10, 11","2000, 4, 12"
famotidine,Bradycardia,"2005, 11, 22","2005, 11, 22"
felodipine,Tachycardia,"2008, 12, 5","2000, 3, 1"
felodipine,Bradycardia,"2020, 10, 7","2020, 10, 7"
fenofibrate,Cardiovascular disorder,"2022, 10, 28","2019, 2, 25"
fenofibrate,Cardiac disorder,"2022, 10, 28","2013, 1, 15"
fenofibrate,Myocardial infarction,"2022, 7, 13","2000, 8, 22"
fenofibrate,Tachycardia,"2022, 7, 9","2001, 3, 10"
fenofibrate,Electrocardiogram abnormal,"2014, 12, 3","2014, 12, 3"
fenoldopam,Cardiac failure,"2021, 11, 17","2000, 5, 10"
fenoldopam,Myocardial infarction,"2010, 2, 4","2006, 7, 1"
fenoldopam,Tachycardia,"2019, 3, 13","2002, 6, 27"
fenoldopam,Myocardial ischaemia,"2015, 7, 15","2000, 7, 25"
fenoldopam,Bradycardia,"2005, 1, 22","2002, 3, 9"
fenoldopam,Electrocardiogram T wave inversion,NA,#N/A
fenoprofen,Tachycardia,NA,#N/A
fenoprofen,Supraventricular tachycardia,NA,#N/A
fenoprofen,Electrocardiogram change,NA,#N/A
fentanyl,Cardiac arrest,"2022, 12, 6","2007, 2, 8"
fentanyl,Cardiac disorder,"2022, 11, 12","2019, 10, 10"
fentanyl,Tachycardia,"2022, 11, 23","2013, 3, 12"
fentanyl,Sinus tachycardia,"2020, 6, 1","2000, 3, 29"
fentanyl,Bradycardia-tachycardia syndrome,"2005, 8, 18","2005, 8, 18"
fentanyl,Bradycardia,"2022, 11, 23","2018, 7, 3"
fentanyl,Non-cardiac chest pain,NA,#N/A
fentanyl,Cardio-respiratory arrest,"2022, 12, 6","2000, 11, 21"
fentanyl,Cardiovascular insufficiency,"2022, 6, 21","2000, 7, 21"
fexofenadine,Cardiac failure congestive,"2022, 1, 9","2019, 10, 15"
fexofenadine,Tachycardia,"2019, 9, 14","2001, 3, 10"
flavoxate,Tachycardia,NA,#N/A
flecainide,Cardiac arrest,"2022, 11, 4","2006, 1, 6"
flecainide,Cardiac failure congestive,"2022, 9, 29","2011, 5, 3"
flecainide,Tachycardia,"2022, 10, 27","2020, 2, 27"
flecainide,Ventricular tachycardia,"2022, 9, 25","2018, 4, 4"
flecainide,Sinus bradycardia,"2022, 3, 31","2001, 2, 15"
flecainide,Bradycardia,"2022, 3, 31","2001, 2, 24"
fludarabine,Cardiac failure,"2022, 7, 31","2001, 3, 13"
fludarabine,Cardiac failure congestive,"2022, 7, 31","2001, 3, 13"
fludarabine,Myocardial infarction,"2013, 1, 3","2009, 5, 26"
fludarabine,Pericardial effusion,"2022, 8, 11","2016, 6, 7"
fludarabine,Supraventricular tachycardia,"2009, 5, 26","2009, 5, 26"
fludrocortisone,Cardiac failure congestive,"2022, 8, 1","2001, 11, 29"
fluphenazine,Cardiac arrest,"2021, 10, 2","2021, 10, 2"
fluphenazine,Tachycardia,"2022, 4, 5","2010, 4, 1"
flumazenil,Tachycardia,"2021, 10, 18","2002, 2, 5"
flumazenil,Junctional tachycardia,NA,#N/A
flumazenil,Supraventricular tachycardia,"2003, 5, 20","2003, 5, 20"
flumazenil,Ventricular tachycardia,"2011, 2, 15","2011, 2, 15"
flumazenil,Bradycardia,"2021, 10, 28","2004, 9, 3"
flunisolide,Tachycardia nervous,NA,#N/A
flunisolide,Tachycardia,NA,#N/A
fluoxetine,Cardiac arrest,"2022, 7, 7","2001, 2, 24"
fluoxetine,Cardiac failure congestive,"2022, 11, 8","2001, 2, 24"
fluoxetine,Myocardial infarction,"2022, 9, 23","2001, 1, 4"
fluoxetine,Tachycardia,"2019, 4, 30","2000, 3, 17"
fluoxetine,Ventricular tachycardia,"2017, 12, 17","2000, 3, 17"
fluoxetine,Bradycardia,"2022, 9, 23","2005, 7, 23"
fluoxetine,Cardiotoxicity,"2020, 12, 23","2000, 1, 7"
flurbiprofen,Cardiac failure congestive,"2020, 9, 26","2013, 5, 15"
flurbiprofen,Myocardial infarction,"2021, 9, 18","2004, 2, 7"
flurbiprofen,Tachycardia,"2022, 11, 23","2005, 4, 28"
flurbiprofen,Cardiac failure right,NA,#N/A
fluvastatin,Cardiac disorder,"2022, 6, 15","2008, 4, 10"
fluvoxamine,Cardiovascular disorder,"2022, 7, 15","2000, 11, 23"
fluvoxamine,Cardiac arrest,"2022, 7, 7","2012, 2, 18"
fluvoxamine,Cardiac disorder,"2022, 9, 15","2000, 4, 4"
fluvoxamine,Cardiac failure,"2021, 10, 12","2004, 3, 5"
fluvoxamine,Myocardial infarction,"2021, 10, 12","2004, 11, 24"
fluvoxamine,Pericarditis,NA,#N/A
fluvoxamine,Tachycardia,"2021, 7, 27","2005, 10, 11"
fluvoxamine,Ventricular tachycardia,"2019, 2, 9","2019, 2, 9"
fluvoxamine,Electrocardiogram QT prolonged,"2022, 7, 26","2003, 7, 4"
fluvoxamine,Cardiac fibrillation,"2020, 10, 4","2020, 10, 4"
fluvoxamine,Bradycardia,"2022, 7, 15","2012, 4, 1"
fluvoxamine,Electrocardiogram ST segment,NA,#N/A
fluvoxamine,Cardio-respiratory arrest,"2022, 7, 7","2012, 2, 18"
fluvoxamine,Cardiomyopathy,"2010, 3, 18","2010, 3, 18"
formoterol,Cardiac disorder,"2022, 8, 10","2001, 5, 17"
formoterol,Tachycardia,"2021, 11, 9","2001, 7, 7"
formoterol,Supraventricular tachycardia,"2006, 8, 17","2006, 8, 17"
formoterol,Electrocardiogram QT prolonged,"2022, 4, 11","2006, 6, 6"
formoterol,Cardiac failure congestive,"2019, 7, 16","2004, 1, 15"
formoterol,Myocardial infarction,"2022, 8, 10","2006, 8, 17"
formoterol,Electrocardiogram T wave inversion,NA,#N/A
foscarnet,Cardiac arrest,"2012, 1, 31","2012, 1, 31"
foscarnet,Sinus tachycardia,"2012, 6, 13","2012, 6, 13"
gabapentin,Cardiovascular disorder,"2022, 11, 25","2015, 12, 23"
gabapentin,Cardiac arrest,"2022, 7, 9","2007, 9, 14"
gabapentin,Cardiac disorder,"2022, 11, 16","2001, 3, 27"
gabapentin,Cardiac failure,"2022, 10, 7","2002, 10, 4"
gabapentin,Cardiac failure congestive,"2022, 10, 7","2001, 3, 27"
gabapentin,Myocardial infarction,"2022, 9, 2","2001, 6, 30"
gabapentin,Pericardial effusion,"2017, 10, 25","2017, 10, 25"
gabapentin,Pericarditis,NA,#N/A
gabapentin,Tachycardia,"2022, 10, 7","2003, 3, 21"
gabapentin,Pericardial rub,NA,#N/A
gabapentin,Bradycardia,"2022, 9, 30","2005, 1, 13"
galantamine,Cardiac disorder,"2021, 2, 24","2006, 1, 24"
galantamine,Cardiac failure,"2022, 4, 5","2006, 6, 22"
galantamine,Tachycardia,"2020, 2, 7","2014, 4, 30"
galantamine,Supraventricular tachycardia,NA,#N/A
galantamine,Ventricular tachycardia,"2020, 2, 7","2020, 2, 7"
galantamine,Sinus bradycardia,NA,#N/A
galantamine,Myocardial ischaemia,"2022, 3, 5","2013, 6, 6"
galantamine,Electrocardiogram QT prolonged,"2020, 7, 22","2006, 1, 24"
galantamine,Bradycardia,"2020, 9, 3","2002, 8, 13"
galantamine,Electrocardiogram T wave inversion,NA,#N/A
ganciclovir,Cardiac arrest,"2015, 9, 18","2009, 7, 16"
ganciclovir,Tachycardia,"2021, 3, 11","2012, 1, 31"
ganciclovir,Ventricular tachycardia,"2019, 12, 5","2015, 10, 9"
gemcitabine,Cardiac disorder,"2022, 11, 20","2002, 10, 5"
gemcitabine,Cardiac failure,"2022, 11, 25","2001, 4, 18"
gemcitabine,Cardiac failure congestive,"2021, 2, 6","2001, 4, 18"
gemcitabine,Myocardial infarction,"2022, 4, 15","2000, 1, 29"
gemcitabine,Cardiotoxicity,"2022, 11, 20","2001, 1, 6"
granisetron,Tachycardia,"2016, 12, 19","2010, 3, 10"
granisetron,Sinus bradycardia,"2016, 7, 8","2016, 7, 8"
granisetron,Bradycardia,"2022, 10, 18","2002, 1, 30"
guanfacine,Cardiac failure congestive,"2020, 10, 19","2004, 6, 5"
guanfacine,Myocardial infarction,"2015, 12, 8","2015, 12, 8"
guanfacine,Tachycardia,"2022, 5, 20","2003, 7, 23"
guanfacine,Cardiac fibrillation,NA,#N/A
guanfacine,Bradycardia,"2022, 4, 5","2005, 10, 18"
haloperidol,Cardiac arrest,"2022, 2, 10","2000, 5, 29"
haloperidol,Cardiac disorder,"2022, 10, 11","2014, 1, 28"
haloperidol,Tachycardia,"2022, 8, 23","2005, 1, 15"
haloperidol,Ventricular tachycardia,"2022, 8, 23","2000, 1, 5"
haloperidol,Electrocardiogram QT prolonged,"2022, 6, 26","2004, 3, 26"
homatropine,Cardiac disorder,"2021, 5, 19","2007, 12, 18"
homatropine,Tachycardia,"2021, 5, 19","2000, 6, 22"
hydromorphone,Cardiac arrest,"2018, 4, 24","2009, 5, 28"
hydromorphone,Cardiac disorder,"2022, 10, 20","2000, 6, 14"
hydromorphone,Tachycardia,"2022, 10, 18","2014, 11, 22"
hydromorphone,Ventricular tachycardia,NA,#N/A
hydromorphone,Bradycardia,"2022, 4, 12","2008, 10, 3"
hydromorphone,Cardiovascular insufficiency,"2014, 6, 21","2014, 6, 21"
atropine,Tachycardia,"2022, 11, 18","2013, 11, 28"
atropine,Cardiac arrest,"2022, 10, 4","2014, 5, 9"
atropine,Myocardial infarction,"2022, 10, 28","2007, 8, 2"
atropine,Junctional tachycardia,"2022, 1, 8","2003, 12, 17"
atropine,Supraventricular tachycardia,"2021, 2, 19","2000, 1, 21"
atropine,Sinus tachycardia,"2022, 6, 25","2000, 1, 21"
atropine,Ventricular tachycardia,"2022, 11, 18","2005, 6, 21"
atropine,Electrocardiogram QT prolonged,"2022, 11, 4","2005, 4, 9"
atropine,Bradycardia,"2022, 12, 2","2020, 5, 10"
atropine,Electrocardiogram QRS complex,"2021, 12, 11","2001, 4, 28"
atropine,Cardiac syncope,"2022, 9, 17","2000, 5, 18"
ibuprofen,Cardiac failure,"2022, 11, 25","2004, 3, 5"
ibuprofen,Cardiac failure congestive,"2022, 11, 25","2000, 8, 11"
ibuprofen,Myocardial infarction,"2022, 11, 25","2006, 12, 22"
ibuprofen,Tachycardia,"2022, 8, 31","2001, 9, 5"
ibuprofen,Sinus tachycardia,"2022, 8, 31","2007, 1, 9"
ibuprofen,Sinus bradycardia,NA,#N/A
phenelzine,Tachycardia,"2015, 4, 24","2004, 11, 13"
lidocaine,Cardiac arrest,"2022, 11, 6","2017, 10, 14"
lidocaine,Cardiac disorder,"2022, 11, 6","2020, 1, 14"
lidocaine,Ventricular tachycardia,"2022, 11, 18","2016, 11, 1"
lidocaine,Myocardial depression,"2017, 8, 19","2000, 7, 20"
lidocaine,Bradycardia,"2022, 11, 22","2013, 7, 13"
idarubicin,Cardiac failure congestive,"2022, 4, 14","2000, 8, 15"
idarubicin,Myocardial infarction,"2020, 8, 11","2000, 3, 14"
idarubicin,Myocarditis,"2021, 9, 23","2007, 7, 11"
idarubicin,Pericarditis,"2017, 12, 3","2017, 12, 3"
idarubicin,Sinus tachycardia,NA,#N/A
idarubicin,Cardiotoxicity,"2022, 11, 26","2000, 4, 19"
idarubicin,Cardiomyopathy,"2022, 11, 26","2001, 5, 11"
imipramine,Cardiac disorder,"2021, 8, 3","2000, 8, 25"
imipramine,Cardiac failure,"2017, 5, 31","2005, 3, 31"
imipramine,Cardiac failure congestive,"2017, 5, 31","2005, 2, 11"
imipramine,Myocardial infarction,"2011, 11, 29","2003, 8, 2"
imipramine,Tachycardia,"2015, 12, 15","2002, 3, 23"
imipramine,Sinus tachycardia,NA,#N/A
imipramine,Ventricular tachycardia,"2010, 5, 21","2003, 9, 17"
imipramine,Electrocardiogram QRS complex,"2011, 2, 22","2011, 2, 22"
indinavir,Cardiovascular disorder,"2021, 1, 8","2000, 3, 18"
indinavir,Myocardial infarction,"2019, 3, 2","2002, 3, 27"
indomethacin,Cardiac failure congestive,"2022, 9, 6","2001, 5, 11"
indomethacin,Tachycardia,"2022, 1, 12","2000, 5, 12"
indomethacin,Bradycardia,"2021, 4, 6","2000, 3, 10"
ipratropium,Cardiovascular disorder,"2022, 10, 19","2000, 9, 8"
ipratropium,Cardiac disorder,"2022, 6, 15","2000, 9, 8"
ipratropium,Tachycardia,"2022, 10, 7","2002, 8, 3"
ipratropium,Supraventricular tachycardia,"2010, 12, 4","2003, 2, 25"
isoflurane,Cardiac arrest,"2022, 6, 1","2002, 12, 3"
isoflurane,Cardiac disorder,"2022, 11, 1","2018, 3, 14"
isradipine,Cardiac disorder,"2022, 6, 9","2000, 6, 16"
isradipine,Cardiac failure,"2014, 2, 5","2003, 6, 28"
isradipine,Myocardial infarction,"2021, 3, 31","2004, 6, 30"
isradipine,Tachycardia,"2009, 5, 16","2000, 4, 25"
isradipine,Bradycardia,"2018, 11, 30","2003, 8, 15"
ketamine,Bradycardia,"2022, 12, 3","2015, 1, 6"
ketoconazole,Electrocardiogram QT prolonged,"2020, 2, 19","2001, 5, 1"
ketoprofen,Cardiac failure,"2020, 5, 1","2004, 10, 12"
ketoprofen,Cardiac failure congestive,"2018, 10, 9","2002, 12, 7"
ketoprofen,Myocardial infarction,"2018, 11, 2","2012, 2, 3"
ketoprofen,Tachycardia,"2014, 4, 23","2014, 4, 23"
ketorolac,Cardiac failure congestive,"2022, 9, 7","2002, 8, 27"
ketorolac,Myocardial infarction,"2020, 5, 13","2002, 5, 10"
ketorolac,Tachycardia,"2022, 8, 27","2003, 2, 8"
ketorolac,Bradycardia,"2022, 8, 27","2011, 7, 1"
labetalol,Cardiac failure,"2022, 11, 12","2000, 3, 15"
labetalol,Bradycardia,"2022, 1, 26","2000, 6, 22"
lamivudine,Cardiomyopathy,"2014, 12, 3","2001, 11, 14"
lamotrigine,Cardiac arrest,"2022, 6, 29","2000, 8, 5"
lamotrigine,Cardiac failure,"2021, 8, 27","2011, 5, 14"
lamotrigine,Myocardial infarction,"2019, 12, 14","2004, 1, 31"
lamotrigine,Tachycardia,"2021, 11, 25","2002, 3, 12"
levobunolol,Cardiac arrest,"2014, 10, 25","2014, 10, 25"
levobunolol,Cardiac failure congestive,NA,#N/A
levobunolol,Bradycardia,"2014, 10, 25","2014, 10, 25"
lisuride,Cardiac disorder,"2015, 2, 26","2006, 4, 15"
lisuride,Cardiac valve disease,"2015, 2, 26","2006, 9, 1"
lisuride,Pericardial effusion,NA,#N/A
lisuride,Pericarditis,"2006, 4, 15","2006, 4, 15"
lisuride,Tachycardia,"2000, 7, 6","2000, 7, 6"
lomefloxacin,Cardiac failure,"2011, 1, 14","2011, 1, 14"
lomefloxacin,Myocardial infarction,NA,#N/A
lomefloxacin,Tachycardia,NA,#N/A
lomefloxacin,Bradycardia,NA,#N/A
lomefloxacin,Cardio-respiratory arrest,NA,#N/A
lomefloxacin,Cardiomyopathy,NA,#N/A
loratadine,Cardiovascular disorder,"2021, 9, 11","2000, 4, 5"
loratadine,Tachycardia,"2022, 7, 9","2001, 9, 29"
loxapine,Tachycardia,"2022, 7, 2","2010, 2, 18"
maprotiline,Cardiac disorder,"2020, 12, 12","2001, 12, 12"
maprotiline,Myocardial infarction,"2009, 1, 15","2009, 1, 15"
maprotiline,Tachycardia,"2021, 1, 15","2002, 5, 3"
maprotiline,Sinus tachycardia,NA,#N/A
maprotiline,Ventricular tachycardia,"2004, 9, 4","2001, 12, 12"
maprotiline,Electrocardiogram QRS complex,NA,#N/A
meloxicam,Cardiac disorder,"2022, 9, 3","2000, 7, 25"
meloxicam,Cardiac failure,"2021, 2, 23","2007, 5, 2"
meloxicam,Cardiac failure congestive,"2021, 2, 23","2000, 1, 11"
meloxicam,Myocardial infarction,"2021, 2, 23","2002, 4, 16"
meloxicam,Tachycardia,"2020, 12, 8","2011, 1, 11"
memantine,Cardiovascular disorder,"2022, 11, 21","2014, 6, 9"
memantine,Cardiac arrest,"2021, 6, 2","2007, 1, 2"
memantine,Cardiac disorder,"2022, 5, 3","2004, 9, 28"
memantine,Cardiomegaly,"2020, 6, 17","2020, 6, 17"
memantine,Cardiac failure,"2019, 3, 26","2008, 5, 27"
memantine,Cardiac failure congestive,"2019, 3, 26","2008, 5, 27"
memantine,Cardiac murmur,NA,#N/A
memantine,Cardiac valve disease,NA,#N/A
memantine,Myocardial infarction,"2022, 3, 19","2010, 1, 30"
memantine,Tachycardia,"2020, 2, 7","2011, 10, 1"
memantine,Supraventricular tachycardia,NA,#N/A
memantine,Electrocardiogram QT prolonged,"2022, 3, 19","2016, 1, 20"
memantine,Electrocardiogram abnormal specific,NA,#N/A
memantine,Electrocardiogram abnormal,"2021, 3, 25","2016, 1, 20"
memantine,Bradycardia,"2022, 3, 19","2004, 9, 1"
memantine,Electrocardiogram change,"2021, 3, 25","2014, 7, 31"
memantine,Electrocardiogram QT corrected interval prolonged,"2016, 1, 20","2016, 1, 20"
meperidine,Cardiac arrest,"2021, 9, 10","2001, 10, 24"
meperidine,Tachycardia,"2021, 1, 9","2000, 4, 25"
meperidine,Bradycardia,"2022, 2, 13","2002, 5, 8"
meperidine,Cardiovascular insufficiency,"2016, 8, 12","2016, 8, 12"
mepivacaine,Cardiac output decreased,"2005, 7, 28","2002, 6, 13"
mepivacaine,Cardiac arrest,"2021, 11, 6","2000, 10, 7"
mepivacaine,Tachycardia,"2020, 5, 15","2008, 4, 19"
mepivacaine,Bradycardia,"2021, 11, 6","2000, 5, 19"
meprobamate,Tachycardia,"2007, 9, 14","2007, 9, 14"
methadone,Cardiac arrest,"2022, 9, 27","2005, 1, 26"
methadone,Cardiac failure,"2022, 2, 5","2004, 9, 21"
methadone,Tachycardia,"2022, 11, 27","2009, 1, 21"
methadone,Ventricular tachycardia,"2022, 8, 6","2007, 5, 1"
methadone,Electrocardiogram QT prolonged,"2022, 8, 6","2010, 11, 18"
methadone,Bradycardia,"2022, 4, 20","2002, 9, 12"
methadone,Electrocardiogram T wave inversion,"2019, 10, 28","2019, 10, 28"
methadone,Cardiomyopathy,"2021, 4, 13","2004, 12, 1"
methadone,Cardiovascular insufficiency,"2021, 4, 22","2011, 4, 16"
methocarbamol,Bradycardia,NA,#N/A
methotrexate,Cardiac tamponade,"2022, 1, 11","2001, 11, 16"
methotrexate,Cardiac disorder,"2022, 11, 30","2019, 12, 22"
